* Measurement data measured by REW V5.19
* Source: D:\Downloads\Toole.csv
* Format: Comma/Tab/Space delimited data
* Dated: Oct 1, 2020 8:33:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from D:\Downloads\Toole.csv Format: Comma/Tab/Space delimited data 248 values loaded, 21 Hz to 19,356 Hz
* Measurement: Toole.csv
* Smoothing: None
* Frequency Step: 0.25 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
127.366 2.883 0
127.616 2.881 0
127.866 2.879 0
128.116 2.877 0
128.366 2.875 0
128.616 2.873 0
128.866 2.871 0
129.116 2.869 0
129.366 2.867 0
129.616 2.865 0
129.866 2.863 0
130.116 2.861 0
130.366 2.859 0
130.616 2.857 0
130.866 2.856 0
131.116 2.854 0
131.366 2.852 0
131.616 2.850 0
131.866 2.848 0
132.116 2.846 0
132.366 2.844 0
132.616 2.842 0
132.866 2.841 0
133.116 2.839 0
133.366 2.837 0
133.616 2.835 0
133.866 2.833 0
134.116 2.831 0
134.366 2.829 0
134.616 2.827 0
134.866 2.825 0
135.116 2.823 0
135.366 2.821 0
135.616 2.819 0
135.866 2.817 0
136.116 2.815 0
136.366 2.814 0
136.616 2.812 0
136.866 2.810 0
137.116 2.808 0
137.366 2.806 0
137.616 2.804 0
137.866 2.802 0
138.116 2.800 0
138.366 2.798 0
138.616 2.796 0
138.866 2.794 0
139.116 2.793 0
139.366 2.791 0
139.616 2.789 0
139.866 2.787 0
140.116 2.785 0
140.366 2.783 0
140.616 2.782 0
140.866 2.780 0
141.116 2.778 0
141.366 2.776 0
141.616 2.774 0
141.866 2.773 0
142.116 2.771 0
142.366 2.769 0
142.616 2.767 0
142.866 2.766 0
143.116 2.764 0
143.366 2.762 0
143.616 2.761 0
143.866 2.759 0
144.116 2.757 0
144.366 2.755 0
144.616 2.754 0
144.866 2.752 0
145.116 2.750 0
145.366 2.748 0
145.616 2.746 0
145.866 2.744 0
146.116 2.742 0
146.366 2.741 0
146.616 2.739 0
146.866 2.737 0
147.116 2.735 0
147.366 2.733 0
147.616 2.731 0
147.866 2.729 0
148.116 2.728 0
148.366 2.726 0
148.616 2.724 0
148.866 2.722 0
149.116 2.720 0
149.366 2.719 0
149.616 2.717 0
149.866 2.715 0
150.116 2.714 0
150.366 2.712 0
150.616 2.710 0
150.866 2.709 0
151.116 2.707 0
151.366 2.705 0
151.616 2.704 0
151.866 2.702 0
152.116 2.701 0
152.366 2.699 0
152.616 2.697 0
152.866 2.696 0
153.116 2.694 0
153.366 2.692 0
153.616 2.691 0
153.866 2.689 0
154.116 2.688 0
154.366 2.686 0
154.616 2.684 0
154.866 2.683 0
155.116 2.681 0
155.366 2.680 0
155.616 2.678 0
155.866 2.676 0
156.116 2.675 0
156.366 2.673 0
156.616 2.672 0
156.866 2.670 0
157.116 2.668 0
157.366 2.667 0
157.616 2.665 0
