* Measurement data measured by REW V5.19
* Source: D:\Downloads\rtings Target.csv
* Format: Comma/Tab/Space delimited data
* Dated: Oct 3, 2020 1:51:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from D:\Downloads\rtings Target.csv Format: Comma/Tab/Space delimited data 170 values loaded, 20 Hz to 19,779 Hz
* Measurement: rtings Target.csv
* Smoothing: None
* Frequency Step: 0.25 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
221.607 80.599 0
221.857 80.596 0
222.107 80.594 0
222.357 80.591 0
222.607 80.588 0
222.857 80.586 0
223.107 80.583 0
223.357 80.581 0
223.607 80.578 0
223.857 80.576 0
224.107 80.573 0
224.357 80.571 0
224.607 80.568 0
224.857 80.566 0
225.107 80.563 0
225.357 80.561 0
225.607 80.558 0
225.857 80.556 0
226.107 80.553 0
226.357 80.551 0
226.607 80.548 0
226.857 80.546 0
227.107 80.543 0
227.357 80.541 0
227.607 80.538 0
227.857 80.536 0
228.107 80.533 0
228.357 80.531 0
228.607 80.529 0
228.857 80.526 0
229.107 80.524 0
229.357 80.521 0
229.607 80.519 0
229.857 80.516 0
230.107 80.514 0
230.357 80.511 0
230.607 80.509 0
230.857 80.507 0
231.107 80.504 0
231.357 80.502 0
231.607 80.499 0
231.857 80.497 0
232.107 80.495 0
232.357 80.492 0
232.607 80.490 0
232.857 80.487 0
233.107 80.485 0
233.357 80.483 0
233.607 80.480 0
233.857 80.478 0
234.107 80.475 0
234.357 80.473 0
234.607 80.471 0
234.857 80.468 0
235.107 80.466 0
235.357 80.464 0
235.607 80.461 0
235.857 80.459 0
236.107 80.457 0
236.357 80.454 0
236.607 80.452 0
236.857 80.450 0
237.107 80.447 0
237.357 80.446 0
237.607 80.444 0
237.857 80.442 0
238.107 80.440 0
238.357 80.438 0
238.607 80.437 0
238.857 80.435 0
239.107 80.434 0
239.357 80.432 0
239.607 80.431 0
239.857 80.429 0
240.107 80.428 0
240.357 80.426 0
240.607 80.425 0
240.857 80.424 0
241.107 80.422 0
241.357 80.421 0
241.607 80.420 0
241.857 80.418 0
242.107 80.417 0
242.357 80.415 0
242.607 80.414 0
242.857 80.412 0
243.107 80.410 0
243.357 80.409 0
243.607 80.407 0
243.857 80.405 0
244.107 80.403 0
244.357 80.402 0
244.607 80.400 0
244.857 80.398 0
245.107 80.397 0
245.357 80.395 0
245.607 80.393 0
245.857 80.391 0
246.107 80.390 0
246.357 80.388 0
246.607 80.387 0
246.857 80.385 0
247.107 80.383 0
247.357 80.382 0
247.607 80.381 0
247.857 80.379 0
248.107 80.378 0
248.357 80.377 0
248.607 80.376 0
248.857 80.375 0
249.107 80.373 0
249.357 80.372 0
249.607 80.371 0
249.857 80.370 0
250.107 80.369 0
